song_id,playlist_name,decade_fct,track_artists,track.name,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,instrumentalness,valence,track.popularity,track.duration_ms,track.explicit,is_local
1,decades_70,1,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",0.601,0.532,-9.119,0.0286,0.432,0.0925,136.571,6.25E-06,0.341,81,281613,FALSE,FALSE
2,decades_70,1,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",0.67,0.619,-10.365,0.0323,0.0514,0.0492,108.826,0,0.807,1,160500,FALSE,FALSE
3,decades_70,1,Eric Clapton,Wonderful Tonight,0.572,0.214,-15.625,0.0293,0.649,0.125,95.542,0.129,0.485,76,225026,FALSE,FALSE
4,decades_70,1,Chaka Khan,I'm Every Woman,0.617,0.879,-7.564,0.0455,0.127,0.339,114.453,5.71E-05,0.746,58,247413,FALSE,FALSE
5,decades_70,1,Marvin Gaye,Got To Give It Up - Album Edit,0.838,0.806,-9.738,0.0408,0.213,0.354,123.121,0.00203,0.846,0,361093,FALSE,FALSE
6,decades_70,1,Michael Jackson,Rock with You - Single Version,0.808,0.535,-12.521,0.0353,0.179,0.158,114.031,9.91E-05,0.848,72,220626,FALSE,FALSE
7,decades_70,1,Eagles,Hotel California - 2013 Remaster,0.579,0.508,-9.484,0.027,0.00574,0.0575,147.125,0.000494,0.609,62,391376,FALSE,FALSE
8,decades_70,1,Barry White,"You're The First, The Last, My Everything",0.631,0.59,-12.138,0.0297,0.00367,0.0537,130.145,0.00299,0.927,66,208933,FALSE,FALSE
9,decades_70,1,TOTO,Hold the Line,0.482,0.835,-7.68,0.0539,0.0191,0.162,96.444,0.0143,0.776,66,236106,FALSE,FALSE
10,decades_70,1,Sister Sledge,He's the Greatest Dancer,0.7,0.816,-9.711,0.044,0.00115,0.0901,113.244,0.00123,0.838,63,375400,FALSE,FALSE
11,decades_70,1,"Earth, Wind & Fire",September,0.694,0.831,-7.288,0.0301,0.165,0.25,125.901,0.000892,0.98,66,215080,FALSE,FALSE
12,decades_70,1,The O'Jays,Now That We Found Love,0.719,0.645,-8.405,0.0387,0.251,0.273,113.965,4.09E-06,0.961,0,281200,FALSE,FALSE
13,decades_70,1,Bee Gees,Stayin' Alive - Remastered Version,0.675,0.899,-6.124,0.0418,0.0696,0.33,103.683,0.000139,0.91,0,285200,FALSE,FALSE
14,decades_70,1,The Emotions,Best of My Love,0.784,0.713,-6.865,0.0339,0.447,0.0904,115.443,0.14,0.97,67,220560,FALSE,FALSE
15,decades_70,1,The Beatles,Let It Be - Remastered 2009,0.443,0.403,-8.339,0.0322,0.631,0.111,143.462,0,0.41,78,243026,FALSE,FALSE
16,decades_80,2,Luther Vandross,Never Too Much,0.734,0.583,-11.866,0.129,0.125,0.0367,109.935,0,0.76,71,230466,FALSE,FALSE
17,decades_80,2,Tracy Chapman,Baby Can I Hold You,0.692,0.422,-10.533,0.0333,0.0811,0.0848,74.375,0,0.468,76,193120,FALSE,FALSE
18,decades_80,2,U2,I Still Haven't Found What I'm Looking For - Remastered 2007,0.565,0.764,-9.43,0.0351,0.0139,0.079,100.891,0.00488,0.686,0,277480,FALSE,FALSE
19,decades_80,2,Tina Turner,What's Love Got to Do with It,0.851,0.406,-11.631,0.0661,0.219,0.0853,97.84,6.41E-06,0.792,74,226880,FALSE,FALSE
20,decades_80,2,Huey Lewis & The News,The Power Of Love,0.768,0.829,-5.109,0.0313,0.0964,0.097,118.773,2.92E-05,0.962,77,234333,FALSE,FALSE
21,decades_80,2,"Soul II Soul, Caron Wheeler",Back To Life,0.817,0.485,-11.659,0.143,0.0525,0.0391,100.978,0.00021,0.672,63,228266,FALSE,FALSE
22,decades_80,2,Bryan Adams,Summer Of '69,0.508,0.834,-6.205,0.0386,0.0183,0.0732,139.131,0,0.774,82,216053,FALSE,FALSE
23,decades_80,2,Chaka Khan,Ain't Nobody,0.799,0.878,-7.109,0.0434,0.189,0.14,104.284,0.000105,0.816,69,280853,FALSE,FALSE
24,decades_80,2,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),0.709,0.824,-8.824,0.0453,0.207,0.0888,118.818,0.000307,0.867,82,291293,FALSE,FALSE
25,decades_80,2,Marvin Gaye,Sexual Healing,0.805,0.601,-9.7,0.0579,0.119,0.0581,94.382,0.000129,0.746,72,238600,FALSE,FALSE
26,decades_80,2,Michael Jackson,Billie Jean,0.92,0.654,-3.051,0.0401,0.0236,0.0359,117.046,0.0158,0.847,82,293826,FALSE,FALSE
27,decades_80,2,Diana Ross,I'm Coming Out,0.72,0.828,-9.211,0.0462,0.185,0.0839,110.071,0.429,0.768,66,323346,FALSE,FALSE
